index,slack_pt,strength_x2_capture_pt,strength_x4_capture_pt,num_launch_pt,setup_pt,strength_x16_capture_pt,strength_x0_launch_pt,strength_x16_launch_pt,strength_x4_data_pt,strength_x32_data_pt,strength_x0_common_pt,slack_launch_pt,strength_x0_capture_pt,strength_x1_launch_pt,strength_x1_data_pt,strength_x2_common_pt,strength_x8_common_pt,num_capture_pt,slack_capture_pt,strength_x32_capture_pt,strength_x2_launch_pt,strength_x8_data_pt,strength_x16_data_pt,strength_x4_common_pt,strength_x32_common_pt,num_data_pt,slack_data_pt,strength_x8_capture_pt,strength_x8_launch_pt,strength_x32_launch_pt,strength_x0_data_pt,strength_x2_data_pt,strength_x1_common_pt,strength_x16_common_pt,num_common_pt,ttl_fanout_pt,strength_x1_capture_pt,strength_x4_launch_pt,net_m1_data_pt,net_m1_common_pt,net_m4_launch_pt,net_m5_data_pt,net_m4_common_pt,net_m2_capture_pt,net_m2_launch_pt,net_m2_common_pt,net_m1_capture_pt,net_m4_capture_pt,net_m1_launch_pt,net_m3_capture_pt,net_m5_launch_pt,net_m2_data_pt,net_m4_data_pt,net_m5_common_pt,net_m5_capture_pt,net_m3_launch_pt,net_m3_data_pt,net_m3_common_pt,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,STA,status
0,7.621738000000001,2,0,4,0.09422799999999999,0,0,0,0,0,0,0.465751,0,1,27,3,0,3,0.432641,0,3,0,0,0,0,40,2.257102,0,0,0,5,7,0,0,3,91,1,0,46.099,0.27399999999999997,27.968000000000004,57.303999999999995,196.99200000000002,2.3280000000000003,2.608,3.0039999999999996,0.0,62.472,0.0,42.68,0,187.863,187.75,0,0,36.722,315.86400000000003,292.64799999999997,7844.10175166,7672.19527691,7668.58528317,7666.26002509,7664.46866559,7662.86769316,7661.47530818,7660.27579411,7659.39355371,7658.40208487,7657.47366059,7656.22207353,7658.56254287,7621.736999999999,omit
1,7.6223149999999995,2,0,4,0.094368,0,0,0,0,0,0,0.465751,0,1,27,3,0,3,0.432641,0,3,0,0,0,0,40,2.256385,0,0,0,5,7,0,0,3,91,1,0,46.018,0.27399999999999997,27.968000000000004,57.303999999999995,196.99200000000002,2.3280000000000003,2.608,3.0039999999999996,0.0,62.472,0.0,42.68,0,185.947,187.75,0,0,36.722,316.168,292.64799999999997,7844.75191132,7672.93302233,7669.29098615,7666.93655131,7665.17627634,7663.55225473,7662.15914092,7660.96022064,7660.08348174,7659.09232685,7658.18363869,7656.91071909,7659.22889081,7622.314,omit
2,7.630656,2,0,4,0.093285,0,0,0,0,0,0,0.465751,0,1,27,3,0,3,0.438438,0,3,0,0,0,0,40,2.254923,0,0,0,5,7,0,0,3,91,1,0,46.181999999999995,0.27399999999999997,27.968000000000004,57.303999999999995,196.99200000000002,2.616,2.608,3.0039999999999996,0.0,65.208,0.0,50.978,0,184.85299999999998,187.75,0,0,36.722,315.56,292.64799999999997,7853.15631346,7681.31213268,7677.70406621,7675.3516896,7673.58907536,7671.96803559,7670.57218259,7669.37228181,7668.49498827,7667.50291464,7666.59386608,7665.30345028,7667.58606311,7630.655,omit
3,7.647141,6,0,7,0.093849,0,0,0,0,0,0,0.465751,0,1,27,0,0,7,0.457027,0,6,0,0,0,0,40,2.253174,0,0,0,5,7,0,0,0,91,1,0,46.378,0.0,177.232,57.303999999999995,47.728,5.184,4.8839999999999995,0.728,0.154,124.792,0.27399999999999997,221.612,0,198.351,187.75,0,0,185.954,298.688,143.416,7870.4287815,7698.22118974,7694.6137206,7692.22325495,7690.35330435,7688.75153687,7687.26071208,7686.04439464,7685.15617455,7684.17620695,7683.21195718,7681.96080591,7684.29289537,7646.255,omit
4,7.64233,2,0,4,0.092805,0,0,0,0,0,0,0.465751,0,1,27,3,0,3,0.438438,0,3,0,0,0,0,40,2.243729,0,0,0,5,7,0,0,3,91,1,0,46.581,0.27399999999999997,27.968000000000004,57.303999999999995,196.99200000000002,2.616,2.608,3.0039999999999996,0.0,65.208,0.0,50.978,0,183.15099999999998,187.75,0,0,36.722,304.008,292.64799999999997,7864.89312762,7693.33034219,7689.73218491,7687.39863667,7685.65015969,7684.06480152,7682.67609586,7681.49554818,7680.63562534,7679.66245556,7678.77019424,7677.54780798,7680.10186608,7642.329000000001,omit
5,7.643746000000001,2,0,4,0.09240599999999999,0,0,0,0,0,0,0.465751,0,1,27,3,0,3,0.438438,0,3,0,0,0,0,40,2.242713,0,0,0,5,7,0,0,3,91,1,0,46.224,0.27399999999999997,27.968000000000004,57.303999999999995,196.99200000000002,2.616,2.608,3.0039999999999996,0.0,65.208,0.0,50.978,0,184.763,187.75,0,0,36.722,300.816,292.64799999999997,7866.31950845,7694.69868332,7691.17466112,7688.83970493,7687.08522328,7685.50502003,7684.10457605,7682.92436964,7682.07580927,7681.10468841,7680.21071751,7678.98503379,7681.51048163,7643.745,omit
6,7.644475,2,0,4,0.092597,0,0,0,0,0,0,0.465751,0,1,27,3,0,3,0.438438,0,3,0,0,0,0,40,2.241793,0,0,0,5,7,0,0,3,91,1,0,46.224,0.27399999999999997,27.968000000000004,57.303999999999995,196.99200000000002,2.616,2.608,3.0039999999999996,0.0,65.208,0.0,50.978,0,183.15099999999998,187.75,0,0,36.722,301.272,292.64799999999997,7867.09555003,7695.56520966,7692.03375984,7689.62890283,7687.87750328,7686.29363066,7684.90324193,7683.72388147,7682.86765915,7681.8997639,7681.00505089,7679.74387019,7682.24296441,7644.474,omit
7,7.64439,1,0,2,0.094855,0,0,0,0,0,0,0.465751,0,1,27,5,0,2,0.45028599999999996,0,1,0,0,0,0,40,2.254181,0,0,0,5,7,0,0,5,91,1,0,46.926,0.27399999999999997,10.335999999999999,57.303999999999995,214.62400000000002,0.912,1.06,4.552,0.0,6.688,0.0,7.6,0,196.923,187.75,0,0,9.12,301.12,320.25,7863.6835995,7692.24663112,7688.69757493,7686.39275599,7684.64247623,7683.07972273,7681.7739729,7680.61266378,7679.70229044,7678.73907972,7677.85065608,7676.58110891,7678.84575857,7644.39,omit
8,7.649489999999999,0,0,1,0.09467300000000001,0,0,0,0,0,0,0.465751,0,1,27,6,0,1,0.45327,0,0,0,0,0,0,40,2.252248,0,0,0,5,7,0,0,6,91,1,0,47.168,0.27399999999999997,0.0,57.303999999999995,224.96,0.0,0.0,5.612,0.0,0.0,0.0,0.0,0,198.625,187.75,0,0,0.0,296.10400000000004,329.37,7869.31068036,7697.18534696,7693.60531374,7691.21808942,7689.33164047,7687.69709123,7686.25285262,7685.03626523,7684.22158716,7683.22899722,7682.30282144,7680.95595845,7683.30363633,7649.49,omit
9,7.653466000000001,1,0,2,0.09417,0,0,0,0,0,0,0.465751,0,1,27,5,0,2,0.45610100000000003,0,1,0,0,0,0,40,2.251605,0,0,0,5,7,0,0,5,91,1,0,46.5,0.27399999999999997,10.335999999999999,57.303999999999995,214.62400000000002,1.214,1.06,4.552,0.0,13.072000000000001,0.0,11.856,0,199.203,187.75,0,0,9.12,296.10400000000004,320.25,7873.09437507,7701.61292431,7698.13940194,7695.8214957,7694.09346155,7692.52288537,7691.15585303,7689.99720703,7689.13259741,7688.25280631,7687.28588462,7686.01926778,7688.26283759,7653.465999999999,omit
10,7.654066,1,0,2,0.09342400000000001,0,0,0,0,0,0,0.465751,0,1,27,5,0,2,0.45610100000000003,0,1,0,0,0,0,40,2.251752,0,0,0,5,7,0,0,5,91,1,0,47.048,0.27399999999999997,10.335999999999999,57.303999999999995,214.62400000000002,1.214,1.06,4.552,0.0,13.072000000000001,0.0,11.856,0,199.78099999999998,187.75,0,0,9.12,294.28,320.25,7873.53038224,7702.09088463,7698.55246991,7696.21318463,7694.47009772,7692.92379139,7691.58895795,7690.39594883,7689.514253300001,7688.54448514,7687.65549226,7686.37563188,7688.69585204,7654.066,omit
11,7.654914999999999,1,0,2,0.093436,0,0,0,0,0,0,0.465751,0,1,27,5,0,2,0.457408,0,1,0,0,0,0,40,2.2521970000000002,0,0,0,5,7,0,0,5,91,1,0,46.378,0.27399999999999997,10.335999999999999,57.303999999999995,214.62400000000002,1.205,1.06,4.552,0.0,17.328,0.0,12.857999999999999,0,197.135,187.75,0,0,9.12,299.296,320.25,7874.73308632,7702.61381605,7699.02753444,7696.62882769,7694.76515607,7693.14342993,7691.68443585,7690.47428714,7689.58983976,7688.64814068,7687.70437916,7686.38234057,7688.65983188,7654.914000000001,omit
12,7.656075,1,0,2,0.094407,0,0,0,0,0,0,0.465751,0,1,27,5,0,2,0.45610100000000003,0,1,0,0,0,0,40,2.24876,0,0,0,5,7,0,0,5,91,1,0,46.62,0.27399999999999997,10.335999999999999,57.303999999999995,214.62400000000002,1.214,1.06,4.552,0.0,13.072000000000001,0.0,11.856,0,187.985,187.75,0,0,9.12,306.288,320.25,7875.50450958,7703.96617504,7700.48483456,7698.16531585,7696.39839281,7694.80954474,7693.43906359,7692.26379665,7691.41387939,7690.4667340000005,7689.57575733,7688.32115645,7690.51421058,7656.075,omit
13,7.6577779999999995,1,0,2,0.094075,0,0,0,0,0,0,0.465751,0,1,27,5,0,2,0.45610100000000003,0,1,0,0,0,0,40,2.247389,0,0,0,5,7,0,0,5,91,1,0,46.894,0.27399999999999997,10.335999999999999,57.303999999999995,214.62400000000002,1.214,1.06,4.552,0.0,13.072000000000001,0.0,11.856,0,191.725,187.75,0,0,9.12,300.512,320.25,7877.28747136,7705.69512398,7702.26515981,7699.89373031,7698.10640386,7696.53741889,7695.16373317,7693.9579286,7693.12560252,7692.176571600001,7691.28362792,7690.03144168,7692.25584182,7657.778,omit
14,7.658646000000001,1,0,2,0.093484,0,0,0,0,0,0,0.465751,0,1,27,5,0,2,0.45610100000000003,0,1,0,0,0,0,40,2.247111,0,0,0,5,7,0,0,5,91,1,0,47.958,0.27399999999999997,10.335999999999999,57.303999999999995,214.62400000000002,1.214,1.06,4.552,0.0,13.072000000000001,0.0,11.856,0,190.50900000000001,187.75,0,0,9.12,298.84,320.25,7878.14042863,7706.57672227,7703.08966194,7700.81761857,7699.02999473,7697.44704862,7696.07576197,7694.87639277,7694.12000254,7693.12540953,7692.23274907,7690.9535602,7693.13437331,7658.646,omit
15,7.717478999999999,5,0,7,0.094762,0,0,0,0,0,0,0.46977299999999994,0,0,25,0,0,6,0.425969,0,7,0,0,0,0,37,2.1468409999999998,0,0,0,5,6,0,0,0,96,1,0,4.399,0.0,121.14399999999999,52.622,47.728,4.62,5.296,0.728,0.27399999999999997,179.208,0.154,199.998,0,175.905,115.094,0,0,214.438,232.68,143.416,8000.40686456,7776.97134685,7773.34305134,7770.99599374,7769.27759338,7767.73297054,7766.38436601,7765.18588468,7764.1045191,7763.11400393,7762.20153304,7761.42651688,7763.82826306,7717.148,omit
16,7.719475999999999,5,0,7,0.095012,0,0,0,0,0,0,0.46977299999999994,0,0,25,0,0,6,0.425969,0,7,0,0,0,0,37,2.144593,0,0,0,5,6,0,0,0,96,1,0,4.399,0.0,121.14399999999999,52.622,47.728,4.62,5.296,0.728,0.27399999999999997,179.208,0.154,199.998,0,176.817,115.094,0,0,214.438,229.18400000000003,143.416,8002.76725689,7779.35763122,7775.74400752,7773.40189251,7771.6853609,7770.14429342,7768.72888442,7767.53216337,7766.4523542,7765.46323955,7764.55207626,7763.7797302,7766.162545,7719.145,omit
17,7.725911,5,0,7,0.09341,0,0,0,0,0,0,0.46977299999999994,0,0,25,0,0,6,0.43177600000000005,0,7,0,0,0,0,37,2.145567,0,0,0,5,6,0,0,0,96,1,0,5.281000000000001,0.0,121.14399999999999,52.622,47.728,4.894,5.296,0.728,0.27399999999999997,178.44799999999998,0.154,216.87,0,181.195,115.094,0,0,214.438,224.472,143.416,8009.41050262,7785.95205003,7782.34907264,7779.99530222,7778.26506374,7776.71997962,7775.29728123,7774.09985244,7773.01591226,7772.02884389,7771.11946296,7770.36085843,7772.74106083,7725.58,omit
18,7.729099000000001,2,0,4,0.093584,0,0,0,0,0,0,0.465751,0,1,26,3,0,3,0.432641,0,3,0,0,0,0,38,2.150385,0,0,0,4,7,0,0,3,85,1,0,45.993,0.27399999999999997,27.968000000000004,82.23200000000001,196.99200000000002,2.3280000000000003,2.608,3.0039999999999996,0.0,62.472,0.0,42.68,0,178.93200000000002,194.13400000000001,0,0,36.722,286.10200000000003,292.64799999999997,7947.72090429,7784.90788575,7782.5109549,7780.57569702,7779.1999458,7778.0297947,7777.01923604,7776.32409707,7775.22535127,7774.49666086,7773.87648078,7773.24229702,7774.77500702,7729.098000000001,omit
19,7.729716000000001,2,0,4,0.093831,0,0,0,0,0,0,0.465751,0,1,26,3,0,3,0.43614200000000003,0,3,0,0,0,0,38,2.153021,0,0,0,4,7,0,0,3,85,1,0,45.222,0.27399999999999997,27.968000000000004,82.23200000000001,196.99200000000002,2.813,2.608,3.0039999999999996,0.0,63.08,0.0,43.792,0,177.71599999999998,194.13400000000001,0,0,36.722,293.85400000000004,292.64799999999997,7948.03190714,7785.77094936,7782.84426382,7781.18441278,7779.80385005,7778.62605728,7777.57181409,7776.63238317,7775.89082029,7775.16926999,7774.55863916,7773.87768157,7775.02509161,7729.714,omit
