,trj_n,mean_test,mean_train,std_test,std_train,clf
0,0,0.10446711000951907,-2.3253214131997303e-14,12.048473260544474,12.261715139252166,Ridge
1,0,0.0949675622323746,-6.193167878588887e-15,12.028177186115938,12.244673953935777,Lasso
2,10,0.10308375321488918,-2.1031663990299372e-13,11.937467293567188,12.669447028849731,Ridge
3,10,0.09456229803320045,-1.5623669805105573e-13,11.918267765382677,12.652895090072299,Lasso
4,20,0.141705751683724,-3.1835186959973654e-14,11.656818459048113,12.855128197232768,Ridge
5,20,0.1296607395744222,-7.265997741391668e-14,11.632323492154699,12.838616308139661,Lasso
6,30,0.17128814456808558,-1.2462853651273003e-13,11.968637254602905,13.371081455130978,Ridge
7,30,0.1639673225638561,-1.620690100267937e-13,11.954919709815174,13.355134813956575,Lasso
8,40,-0.32911007685074195,-9.5210641054032e-14,12.184524349881611,13.309845843910237,Ridge
9,40,-0.32467286251167854,-7.694800345936206e-14,12.167268548998331,13.293816876542685,Lasso
10,50,-0.32911007685074195,-9.5210641054032e-14,12.184524349881611,13.309845843910237,Ridge
11,50,-0.32467286251167854,-7.694800345936206e-14,12.167268548998331,13.293816876542685,Lasso
